"t, C","nutrients, mL/L",pH
15.9,0.0,7.62
16.1,0.1,7.36
16.2,0.2,7.22
16.3,0.3,7.14
16.5,0.4,6.93
16.6,0.5,6.86
16.8,0.6,6.81
16.9,0.7,6.79
17.1,0.8,6.76
17.2,0.9,6.66
17.3,1.0,6.62
17.4,1.1,6.60
17.6,1.2,6.49
17.7,1.3,6.44
17.8,1.4,6.36
17.9,1.5,6.31
18.1,1.6,6.28
18.1,1.7,6.22
18.2,1.8,6.17
18.4,1.9,6.15
18.4,2.0,6.03
18.6,2.1,5.91
18.6,2.2,5.81
18.8,2.3,5.64
18.8,2.4,5.35
18.9,2.5,4.83
18.9,2.6,4.49
19.1,2.7,4.22
19.1,2.8,4.11
19.2,2.9,4.02
19.2,3.0,3.97
19.3,3.1,3.89
19.4,3.2,3.87
19.4,3.3,3.79
19.5,3.4,3.76
19.6,3.5,3.71
19.6,3.6,3.69
19.7,3.7,3.62
19.7,3.8,3.58
19.8,3.9,3.59
19.8,4.0,3.52
